,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
LINC00871,0,0,0,1,0,4
LINC00638,80,46,20,89,123,17
AL137786.1,2,2,1,1,1,0
AL161757.3,0,0,0,0,0,0
SRP54-AS1,26,42,32,50,65,21
AC245505.2,0,0,0,0,0,0
SLC20A1P3,0,0,0,0,0,0
AC023310.2,0,2,0,0,0,0
SLC25A21-AS1,38,41,77,207,219,26
LINC01193,0,0,9,2,0,11
AL358334.2,3,0,4,0,0,0
CXADRP2,2,0,3,0,2,0
C20orf141,0,0,0,1,0,0
AL139193.2,0,0,0,0,0,0
AL132711.1,0,0,0,0,0,3
LINC02311,0,0,0,0,0,0
AC009396.2,0,0,0,0,0,0
OR11H3P,0,0,0,0,0,0
CKAP2P1,0,0,0,0,0,0
AF099810.1,0,0,0,0,0,0
PINX1,0,0,68,6,0,0
PRC1-AS1,3,8,9,13,4,0
DUXAP6,0,0,0,0,0,0
AL135999.1,138,166,322,333,396,125
AL162231.3,0,0,0,0,0,3
AL355102.3,0,0,0,0,0,0
ITPK1-AS1,9,25,25,29,24,3
AL356020.1,0,5,1,0,4,0
AC025884.1,0,0,0,0,0,0
LINC02328,0,0,0,0,0,0
AL049873.2,2,0,0,3,0,2
LINC00637,0,2,1,9,3,0
AL583722.3,0,0,3,0,0,0
SUB1P2,0,0,0,0,0,0
AL121603.2,91,77,174,141,112,129
ENO1P2,0,0,0,0,0,0
AL691403.1,0,0,0,0,0,0
H2AZ2P1,2,14,9,14,17,0
LINC02833,0,0,0,0,0,0
LINC02301,1,2,2,9,5,0
AL132800.1,36,22,33,42,59,32
AL358334.3,1,0,3,8,3,2
AL162632.2,0,0,0,0,0,0
AL356022.1,0,2,0,0,0,0
AL359399.1,0,0,0,0,0,0
AL110504.1,68,65,232,118,72,141
AL358335.1,0,0,0,0,0,0
AL358335.2,0,0,0,0,1,0
AL357093.2,125,181,52,204,214,7
AL359792.1,0,0,0,2,0,0
LINC01579,2,6,0,4,9,6
AL133453.1,288,247,1680,894,1617,226
AL137100.1,0,0,0,0,0,0
AL049779.2,0,1,0,0,11,0
AL355076.2,0,5,1,13,21,0
AC116903.1,0,0,0,0,0,0
MTND4P33,0,0,0,0,0,0
AC122685.1,0,0,0,0,0,0
AL049874.4,0,0,0,0,0,0
AC107958.2,0,0,1,0,0,0
DIO2-AS1,0,0,0,5,0,0
AC060814.1,0,0,0,0,0,0
AL356019.2,4,5,8,5,4,4
RAP1AP,1,2,5,2,0,0
LINC02330,0,0,0,0,0,0
BCAR1P2,0,0,0,0,0,0
AL355922.3,0,0,0,0,0,0
AC087636.1,0,0,0,0,2,0
NANOGP7,0,0,0,1,0,0
AL161757.4,0,0,0,0,0,0
HIF1A-AS1,1,3,2,0,2,7
AL161670.2,0,0,0,0,0,0
LINC01568,0,0,0,0,0,0
BMS1P15,0,3,0,5,0,1
AL589743.3,0,0,0,0,0,0
AL121694.1,0,0,0,0,0,0
KRT18P6,0,1,0,0,0,0
AL355773.1,0,0,0,0,0,0
LINC01580,0,0,0,0,0,0
SEPHS1P2,0,0,0,0,0,0
CKS1BP1,5,2,8,0,4,10
AL162171.1,4,16,20,38,36,9
AL121594.1,1210,1486,1072,772,721,1408
LINC00520,10,12,27,5,4,42
AL137230.2,1,0,0,3,2,0
AL355102.4,0,2,3,0,4,1
DUX4L27,0,0,0,0,0,0
AL132719.1,0,0,0,0,0,0
AL133241.1,0,0,2,0,0,0
AC023310.3,0,0,0,0,0,0
AL133153.2,1,2,0,1,0,0
ZNF519P2,0,0,0,0,0,0
AL136038.4,0,6,0,0,0,0
AL139317.2,0,0,1,0,1,0
AL355103.1,0,0,0,0,0,0
LINC01148,0,0,0,0,0,0
ADIPOR1P2,0,0,0,0,0,0
OR11H7,0,0,0,0,1,0
AL359237.1,0,0,0,0,0,0
LINC02310,2,0,0,5,0,3
AL133371.2,0,0,0,0,0,0
AL583810.2,5,6,8,6,14,0
TRAV33,0,0,2,0,0,0
AL442663.3,10,5,10,16,22,4
LINC02329,0,0,0,0,0,0
LINC02820,0,0,0,0,0,0
AC121758.3,0,0,0,0,0,0
OR4C13,0,0,0,0,0,0
RNASE4,374,401,369,1676,2595,399
LINC02289,0,0,4,4,11,3
AF111167.1,0,0,0,0,0,0
OR4K16P,0,0,0,0,0,0
AL160314.3,0,0,0,0,0,0
AL122035.1,12,5,13,42,36,14
LINC01147,0,0,0,0,0,0
AL079304.1,0,2,0,1,0,0
KRT8P2,1,1,0,0,0,1
AC026888.1,0,0,0,0,0,0
AC137834.1,17,35,26,0,0,19
AC103996.2,0,0,0,0,0,0
DUX4L4,0,0,0,0,0,0
TRAV28,0,0,0,0,0,0
AL121579.2,0,0,0,0,0,0
AL133370.1,0,1,0,0,1,0
MC1R,76,44,213,144,195,107
EEF1A1P2,0,0,0,0,0,0
AL390816.1,1,0,0,0,0,0
AL133485.2,0,1,2,2,3,0
AL162511.1,24,36,15,139,129,24
AL139354.1,0,0,0,1,0,0
EEF1A1P33,0,0,0,0,0,1
AL391261.2,0,0,0,0,0,0
GRAMD4P6,0,0,0,0,0,0
OR7E159P,0,0,0,0,0,0
AL450442.1,0,0,0,0,0,0
AL139300.2,1,2,1,2,0,1
AC021979.2,0,0,0,0,1,0
AL358333.1,0,0,0,0,0,0
OR11J2P,0,0,0,0,0,0
AL136520.1,0,0,0,0,0,0
AL359397.1,4,1,1,2,0,1
AL583722.4,0,0,4,1,3,0
LINC02296,0,0,0,0,0,0
AL133163.2,0,1,1,0,0,2
MIR381HG,0,0,0,0,0,0
SETP1,0,0,0,0,0,0
AC008575.1,74,42,0,0,21,16
AL390254.1,0,0,0,0,0,0
LINC01146,0,0,0,0,0,1
AL110505.1,0,0,0,0,1,0
LINC02312,0,0,0,0,0,0
EIF4EBP1P1,0,0,0,0,0,1
AC004828.1,0,0,0,0,0,0
FDPSP3,0,0,6,0,0,5
DUXA,0,0,0,0,0,0
AC009396.3,0,0,0,0,0,0
AL135818.1,1,0,10,6,1,0
TGFB3-AS1,0,1,0,0,0,0
ATP5F1AP4,0,0,0,0,0,0
AL355076.3,0,2,0,4,3,0
AC007040.2,4,0,2,4,11,0
AC068446.3,0,0,0,0,0,0
LINC02321,1,7,0,0,0,0
AL450267.1,0,0,0,0,0,0
HIGD1AP17,0,0,0,2,0,0
AL160237.2,0,0,0,0,0,0
AC112693.1,0,0,0,0,0,0
CEP95,569,541,1176,800,869,421
AC005480.1,0,0,9,13,7,1
AL160236.2,0,0,0,0,0,0
SETP2,0,0,0,0,0,0
ARHGAP16P,0,0,0,0,0,0
AC104390.1,0,0,0,0,0,0
SCOCP1,0,3,1,0,0,0
EGLN3-AS1,0,0,0,0,0,0
OR4U1P,0,0,0,0,0,0
HNRNPCP1,0,0,1,0,0,0
AL121821.3,0,0,0,0,0,0
AL049775.2,0,0,0,1,0,0
AL390816.2,0,1,4,9,8,1
AL157871.5,3,2,1,8,6,1
TRAV32,0,0,0,0,0,0
AL157687.1,0,0,0,0,0,1
AC009779.5,0,0,0,0,0,0
AL355075.3,0,0,0,0,0,0
AC091078.2,0,0,0,0,0,0
LINC01956,0,0,0,0,0,0
LINC02316,0,0,0,0,0,0
LINC02691,0,0,0,0,0,0
BHLHB9P1,0,0,0,0,0,0
SPATA31E2P,0,0,0,0,0,0
ZMYND19P1,2,0,11,7,16,2
AL355922.4,0,0,0,0,1,0
AL049836.1,1,2,2,24,31,2
FOXN3-AS1,61,69,37,60,73,55
AC009779.6,0,0,0,0,0,0
AC106028.2,1,0,0,0,0,1
MTND5P35,0,0,0,0,0,0
AC002094.1,0,5,17,0,6,9
NPM1P5,3,3,1,1,1,2
AL355916.2,8,1,10,22,3,0
AL133467.2,12,14,1,3,6,2
AL358333.2,0,0,0,1,1,0
AC005230.1,0,0,0,0,0,0
AC100836.1,0,0,0,0,0,0
AL390334.1,0,0,0,0,0,0
LINC02279,0,0,0,0,0,0
AL356800.1,0,0,0,0,0,0
AL096869.1,0,0,0,0,0,0
AL162311.3,11,8,31,29,19,4
AL132639.2,19,5,27,27,19,15
AL358332.1,0,0,0,0,0,0
AL049871.1,0,0,0,0,0,0
AC004846.2,9,5,13,0,5,11
AL049775.3,1,0,0,0,0,6
TUBB3,4024,3638,1934,441,417,7517
KRT8P1,0,0,0,0,0,0
AL049870.3,0,0,1,0,0,0
KRT18P7,6,19,61,43,47,5
SALRNA1,0,1,8,7,2,0
AC107958.3,0,0,0,0,1,0
LINC00519,28,28,34,45,46,62
COX4I1P1,0,0,0,0,0,0
AL359317.2,5,16,7,13,2,0
AL157688.1,0,0,0,0,0,0
AL118558.1,0,0,5,2,6,0
AL391261.3,0,0,1,0,0,0
AL121839.1,0,1,3,1,0,0
EDDM3DP,0,0,0,0,0,0
AL137129.1,272,282,350,243,380,285
AC044913.2,0,0,0,0,0,0
GTF3AP2,0,0,0,0,0,0
HMGN1P3,7,0,3,1,6,1
AL049830.4,0,0,0,0,0,0
LINC02307,0,0,0,0,0,0
AC104002.1,0,0,0,0,0,0
AC112693.2,0,0,0,0,0,0
NDUFB8P1,0,0,0,0,0,0
AL096870.1,7,7,13,29,36,7
AL133279.2,0,0,0,0,0,0
AC013451.2,5,0,0,1,0,2
LINC01467,0,0,0,0,0,0
HIF1AP1,0,0,0,0,0,0
LINC02299,0,0,0,0,0,0
EIF1AXP2,0,0,0,0,0,0
COX5AP2,0,0,0,0,0,0
AL133523.1,0,5,5,2,1,5
AL162171.2,5,5,8,6,16,4
UBE2F-SCLY,10,44,22,24,3,13
AL352979.2,0,0,0,1,0,0
TMEM179,0,0,0,0,0,2
AL132642.1,0,0,0,0,0,1
AL135978.1,2,0,1,0,0,0
AL355916.3,0,0,2,0,0,0
MPPE1P1,0,0,0,0,0,0
DUX4L19,0,0,0,0,0,0
TSPY1,0,0,0,0,0,0
AL352979.3,0,0,0,0,0,0
LINC02309,0,0,0,0,0,0
PARP1P2,0,0,0,0,0,0
PPIAP5,0,0,0,0,0,0
NF1P2,0,1,2,0,0,0
LINC02302,15,15,1,0,7,3
DOCK11P1,0,1,0,0,0,0
AL355075.4,0,0,0,2,0,0
AL445363.1,0,0,2,4,0,0
AC243965.1,0,0,0,0,0,0
LINC02285,0,0,0,0,0,0
AC005479.1,12,19,12,2,9,0
AC092143.2,0,4,7,0,4,18
AL358333.3,0,0,0,0,0,0
AL355834.1,0,0,0,0,0,0
TPRX2P,0,0,0,0,0,0
AL049869.1,0,0,0,0,2,0
AC016266.1,0,0,0,0,0,0
MTCYBP27,0,0,0,0,0,0
AL118558.2,0,0,0,0,0,0
AL442663.4,0,2,1,0,1,4
AL391156.1,0,0,0,0,0,0
AL133163.3,0,0,0,0,0,0
AL049829.2,0,0,0,0,0,0
EIF4BP1,0,0,0,0,0,0
AL049872.1,0,0,0,0,2,0
TPRX1P1,0,0,0,0,0,0
DNAJC8P1,0,0,0,0,0,0
LINC00524,0,0,0,0,0,0
TVP23C-CDRT4,313,297,421,544,676,290
AC037471.1,0,0,0,0,0,0
AL049833.2,0,0,0,0,0,0
AL135746.1,0,0,0,0,0,0
DUX4L18,0,0,0,0,0,0
FPGT-TNNI3K,59,56,156,286,382,62
AL845552.2,0,0,0,0,2,0
ENSAP2,18,40,9,11,21,17
AL356804.1,10,3,1,0,5,0
AL355838.1,0,0,0,0,0,0
AL355102.5,0,0,1,1,3,2
BX927359.1,0,0,0,0,0,0
AL121820.2,5,6,1,13,8,4
AL161804.1,0,1,11,6,4,1
BLOC1S5-TXNDC5,718,628,708,965,995,899
AC015722.1,0,0,0,0,0,0
AC244502.3,0,0,0,0,0,0
BRD7P1,0,0,0,0,0,0
AL357172.1,0,0,0,0,0,0
MTCO1P2,0,0,0,0,0,0
AL049870.4,0,0,0,0,1,0
AL163153.1,0,0,0,0,0,0
AL392023.2,0,0,0,0,0,0
AL139317.3,25,0,0,32,12,0
CHORDC2P,0,2,0,0,0,0
HNRNPUP1,2,2,1,2,3,3
AL157871.6,0,0,2,2,7,0
AL137230.3,17,7,8,0,0,20
LINC02332,1,1,1,0,2,1
AL591770.1,0,0,0,0,0,0
DUXAP1,0,0,0,0,0,2
AC105109.1,0,0,0,0,0,0
AF111169.2,0,0,0,0,0,0
PEBP1P1,0,0,0,0,0,0
AL163195.3,0,0,0,0,0,0
AL358292.1,0,0,0,0,0,0
ACTN1-AS1,2,0,2,1,1,0
AC091544.3,0,1,1,2,6,1
AC005520.4,26,26,69,182,174,19
AL110118.2,54,39,48,66,15,30
AL583810.3,0,0,0,0,0,0
TRAV37,0,0,0,0,0,0
AL512310.10,0,0,0,0,0,0
LINC00639,6,5,3,0,0,6
AL359397.2,0,0,4,19,0,0
AL355835.1,0,0,0,0,1,0
FOXN3-AS2,0,0,0,0,0,0
PSMB7P1,0,0,0,0,0,0
POC1B-GALNT4,113,57,218,65,96,210
AL049869.2,0,0,0,0,0,0
AL136501.1,0,0,0,0,0,0
PTBP1P,0,1,0,14,4,0
AC005476.1,1,3,0,0,0,1
AC074091.2,0,11,0,0,7,10
AF111169.3,0,0,0,4,0,0
LINC02314,0,0,0,0,0,0
AL132639.3,5,3,10,6,3,6
AL133467.3,1,0,0,0,21,0
AL136298.3,18,4,0,20,2,0
AL121790.2,18,20,12,14,23,4
AL137779.2,1,7,7,8,15,7
GRAMD4P5,0,0,0,0,0,0
SEPTIN7P1,2,1,0,0,2,0
LINC00517,0,0,1,0,0,0
TRAV30,0,0,0,0,0,0
AL137191.1,1,1,1,8,1,0
AC013457.1,0,0,0,0,1,0
GTF2IP22,0,0,0,0,0,0
SHLD2P2,0,2,1,3,1,1
AL163932.1,0,0,0,0,0,0
AC025884.2,0,0,0,0,0,0
AC025574.1,0,0,0,0,1,0
AL157791.1,1,1,3,2,2,1
SMARCE1P3,0,0,1,0,2,0
AF107885.2,4,0,3,0,6,0
PTCSC3,2,2,1,32,30,5
RPS3AP4,0,0,0,0,0,0
AC008056.2,0,0,1,0,0,0
LINC00911,1,0,0,0,0,0
LINC01595,0,0,0,0,0,0
AC004858.1,0,0,0,1,0,0
LINC02304,0,0,0,0,0,0
AL079307.2,0,0,0,0,0,0
NDUFC2-KCTD14,423,376,150,83,185,113
AL118556.2,4,11,8,10,20,4
AL357153.3,11,14,107,10,10,15
AL049869.3,3,2,5,13,9,1
AL121576.1,0,0,0,0,0,0
AL139022.1,0,1,5,1,1,0
AL132796.2,0,0,0,0,0,0
SMIM6,144,149,89,105,130,25
AL109628.1,0,0,2,2,0,0
TVP23BP1,0,0,0,0,0,0
AC103996.3,0,0,0,0,0,0
AC008050.1,0,0,0,0,0,0
LRP1-AS,0,0,0,0,0,0
AL161752.1,3,0,0,1,0,0
LINC00648,1,3,2,7,0,2
AL133371.3,0,0,0,0,0,0
AL132780.3,75,77,92,38,82,30
AL161757.5,0,0,0,0,0,0
LINC00924,0,0,0,0,0,0
AL445363.2,0,4,0,3,3,1
AL137100.2,0,0,0,0,0,0
AL109766.1,2,1,3,2,1,2
AL049780.2,0,0,0,3,8,0
AL049839.1,0,0,0,0,0,0
LINC00644,0,0,0,0,0,0
AL356017.1,0,0,0,0,0,0
RANBP20P,0,1,1,0,1,1
AC005476.2,39,21,28,16,17,13
YWHAZP1,0,0,0,0,0,0
AL445074.1,0,0,0,0,0,0
LINC00929,0,0,0,0,0,0
CAP2P1,2,5,2,13,6,0
AC104002.2,0,0,0,0,0,0
AC004816.1,355,296,316,232,91,367
DUX4L17,0,0,0,0,0,0
AL591767.3,0,0,0,0,1,2
CHEK2P2,0,0,0,0,0,0
AL079307.3,0,0,0,0,0,0
ADAM20P1,3,1,23,12,15,1
AL049869.4,0,0,0,0,0,0
AL137779.3,1,0,5,0,5,0
AL355075.5,0,0,0,0,0,0
AL096869.2,1,0,0,0,0,0
AC007375.2,0,3,0,0,0,0
DDX18P1,5,2,3,3,6,0
AL049836.2,0,0,0,0,0,0
NMNAT1P1,0,0,0,0,0,0
AC104002.3,0,0,0,0,0,0
GNRHR2P1,93,25,53,45,0,48
AC090985.2,0,0,0,0,0,0
AL163636.3,596,573,544,1846,2638,31
AC023024.1,2,14,14,29,10,7
AC090515.4,0,0,0,0,0,0
AC108451.1,0,0,0,0,0,0
AC018946.1,0,0,0,2,0,0
AC023906.2,0,0,1,2,0,1
UBE2CP4,0,0,0,0,0,0
AC012378.1,0,0,0,0,0,0
AC114546.1,0,0,0,0,0,0
AC019254.1,0,0,1,0,1,0
MED28P6,0,0,0,0,0,0
AC090971.2,576,611,539,312,224,459
MRPS15P1,0,0,2,0,0,0
AC122108.2,0,0,0,0,0,0
AC025040.1,0,0,0,0,0,0
AC027237.3,0,0,0,0,0,0
AC109631.1,0,0,0,1,2,0
AC020891.1,0,0,0,0,0,0
AC021739.1,0,0,0,0,0,0
HMBOX1-IT1,0,0,0,1,0,0
AC020658.2,0,0,0,0,0,0
AC022523.1,0,0,0,0,0,0
AC068722.1,1,1,0,1,0,1
AC090971.3,4,5,5,4,5,0
AC012568.1,0,0,0,0,0,0
AC016044.1,0,3,0,12,12,0
AC073964.1,0,0,0,0,0,0
PRKXP1,12,12,6,17,6,6
ITGB3,284,280,920,237,233,332
AC023968.1,0,0,0,0,0,0
AC004943.1,4,9,4,18,4,0
AC013356.2,1,0,4,5,3,0
AC103739.1,1,0,1,4,1,0
AC105133.1,0,0,0,0,0,0
AC012414.1,0,0,0,0,0,0
AC027237.4,0,2,0,1,1,0
AC084757.1,0,0,3,1,0,0
AC068867.1,0,0,0,0,0,0
LINC00928,0,0,0,0,0,0
AC084855.2,0,0,0,0,0,0
AC023905.1,0,0,0,0,0,0
AC027088.2,0,0,0,0,0,0
AC009654.1,0,0,0,0,0,0
SLC35G6,0,2,0,0,15,0
LINC02345,1,8,0,8,17,0
AC087699.1,0,0,2,0,0,0
HNRNPA1P62,0,0,0,0,0,0
AC026826.2,0,0,0,0,0,0
LINC02323,24,22,49,12,5,46
AC090888.1,0,0,0,0,0,0
AC105129.1,0,0,2,0,3,0
ANKRD34C-AS1,0,0,0,0,1,0
AC066612.1,0,0,0,0,0,0
GOLGA8VP,0,0,2,0,1,0
LINC02490,0,0,0,0,0,0
AC092755.2,7,2,3,3,1,3
AC021755.1,0,0,0,0,0,0
MIR4713HG,0,0,5,4,2,1
AC020892.1,0,0,0,0,0,0
AC002306.1,0,2,0,4,9,0
AC048382.2,18,14,39,16,33,10
LINC02853,0,0,0,0,0,0
HMGN2P47,0,0,0,0,0,0
TTTY25P,0,0,0,0,0,0
USP3-AS1,33,35,41,39,42,55
AC018904.1,5,2,9,5,7,1
AC104590.1,1,11,0,23,27,4
AC026583.1,0,0,0,0,0,0
AC022405.1,0,0,0,0,0,0
AC073941.1,0,0,0,0,0,0
LINC01895,0,0,0,0,0,0
AC037479.1,0,0,1,0,1,0
AC013553.1,0,1,0,0,0,0
NPM1P42,0,1,0,0,0,0
IGHV4OR15-8,0,0,0,0,0,0
NDUFA3P4,0,1,0,0,4,0
AC027088.3,0,0,0,0,0,0
AC022523.2,0,0,0,0,0,0
LINC02622,0,0,0,0,0,0
AC007950.1,0,0,0,0,0,0
AC109630.1,0,0,0,0,0,0
AC044860.2,0,0,0,0,0,0
ANKRD62P1,0,0,0,0,0,0
AC027176.1,0,0,0,0,0,0
AC107241.1,0,2,0,5,5,0
AC087477.2,3,2,3,10,19,11
AC087286.1,0,0,0,0,1,0
AC127522.1,0,1,0,0,1,1
AC087878.1,0,3,0,3,6,0
AC018563.2,0,0,0,0,0,0
LINGO1-AS2,0,0,0,0,0,0
SPATA8-AS1,0,0,0,0,0,0
AC109462.1,0,0,0,0,0,0
LINC02349,0,0,0,0,0,0
AC025431.1,0,0,0,0,1,0
AC087639.1,1,0,0,6,2,0
AC010809.1,6,7,2,1,8,1
BUB1B-PAK6,0,0,0,3,10,2
LINC02206,0,0,0,1,0,0
AP001007.3,0,0,0,0,0,0
ZNF710-AS1,46,38,122,147,101,44
LIPC-AS1,0,0,0,0,0,0
AC005096.1,0,1,0,4,1,0
CSPG4P12,79,218,429,587,389,59
AC020892.2,0,0,0,0,0,0
AC061965.2,0,1,1,1,0,1
TUBBP8,0,0,0,0,0,0
AC084759.1,0,0,0,0,0,0
AC048382.3,0,0,0,0,0,0
IGHV2OR16-5,0,0,0,0,0,0
AC090888.2,0,0,0,0,0,0
ZHX1-C8orf76,67,52,114,44,48,77
AC020891.2,0,0,1,1,1,0
PLCB2-AS1,0,0,0,0,0,0
AC024270.1,0,0,0,0,0,0
AC021818.1,0,0,0,0,0,0
AC087477.3,0,0,0,0,0,0
AC103739.2,0,0,0,2,3,0
ACTG1P17,5,15,0,37,9,18
AC087632.2,203,207,81,6,12,118
AC044860.3,0,0,0,0,0,0
AL356801.1,9,10,29,6,23,6
AF111167.2,91,83,63,40,46,29
AC022523.3,0,0,0,0,0,0
AL136295.2,30,34,44,62,49,13
AC090607.1,4,7,31,27,27,2
OR11K1P,0,0,0,0,0,0
AC116158.1,10,1,18,3,18,5
AC023906.3,0,4,0,1,0,4
INAFM2,1232,1306,1352,1527,1561,1311
AC009432.1,0,0,0,0,0,0
ST20-MTHFS,515,582,294,194,282,258
AC127029.1,0,0,0,0,0,0
LINC00596,0,0,0,0,0,0
HNRNPMP1,0,2,3,0,1,0
AC021231.1,0,0,0,0,0,0
IGHV1OR15-2,0,0,0,0,0,0
H3P39,0,0,0,1,0,0
TGIF1P1,0,0,0,0,0,0
AC110588.1,0,0,0,0,0,0
AC015660.1,9,5,42,62,36,8
AC025580.1,19,30,25,19,8,12
TMC3-AS1,10,13,14,27,54,15
AC013652.1,21,55,32,35,70,35
AC105129.2,0,0,0,0,0,0
AC087482.1,4,2,4,0,0,6
AC011921.1,17,23,35,60,29,8
AC067805.1,0,0,0,0,0,0
AC015914.1,1,3,20,16,4,1
AC091117.2,160,152,133,103,54,145
AC090515.5,5,7,8,1,7,19
AC025580.2,54,40,152,42,43,10
AC022710.1,0,0,0,0,0,0
AL590133.2,20,0,0,33,25,29
AC026951.1,1,0,0,0,2,0
AC012409.1,0,0,0,11,8,0
AC009558.1,0,0,0,0,0,0
LINC00927,0,0,0,0,0,0
AC046168.1,1,0,0,7,3,0
AC090825.1,11,4,12,55,37,37
AC013356.3,0,0,0,1,0,0
AC019254.2,0,0,0,0,0,0
AC108449.2,62,64,238,246,308,63
AC087286.2,3,2,6,19,24,0
AC013356.4,2,4,2,0,3,9
AC009997.1,0,0,0,0,0,0
AC103740.1,0,0,1,4,0,8
AL136295.3,0,0,0,0,0,0
NDUFB4P11,1,5,7,0,0,0
AC087286.3,0,0,0,25,13,0
AC090907.1,0,0,0,1,2,0
AC026770.1,2,0,0,4,4,0
DCAF13P3,7,7,7,0,15,1
MTND5P32,0,0,0,0,0,0
AC087473.1,1,2,2,11,4,0
AC090695.2,0,1,2,10,0,0
AC012414.2,0,0,0,0,0,0
GH1,1,0,0,0,0,0
AC066612.2,0,0,0,0,0,0
AC025040.2,0,0,1,0,0,0
H3P38,1,0,0,0,0,0
AC022196.1,0,0,0,0,0,0
AC090877.1,1,0,0,2,4,0
AC025918.2,0,0,0,0,0,0
AC079328.1,1,0,0,0,0,0
AC087516.1,0,0,0,0,0,0
AC087721.1,0,0,1,1,0,0
AC021231.2,1,0,1,1,1,0
AC090970.1,0,6,5,10,11,7
TGIF2-RAB5IF,37,0,30,21,30,12
AC090515.6,0,0,1,1,0,0
AC020704.1,0,0,0,0,0,0
EFL1P1,0,1,0,0,2,1
ISCA1P4,0,0,0,1,0,0
AC021739.2,0,3,3,1,4,0
AC010809.2,1,7,2,6,4,7
BMF-AS1,0,0,0,0,0,0
AC009292.2,0,0,0,1,0,0
HNRNPA1P45,0,0,0,0,0,0
AC011270.1,0,0,0,0,0,0
AC242376.1,5,0,1,0,7,4
AC012291.2,0,0,0,0,0,0
AC021739.3,0,0,0,0,2,0
CTXND1,0,0,9,14,5,1
AC091117.3,0,1,0,1,1,0
HNRNPCP3,1,0,3,1,0,0
AC046168.2,3,3,0,8,2,4
AL022318.2,0,0,0,0,0,0
AC091100.1,0,0,0,0,1,0
AC113146.1,0,1,0,0,2,0
IRAIN,0,1,1,3,2,0
AC011767.1,0,0,0,0,0,0
AC027237.5,91,26,31,25,46,33
DPPA5P2,0,0,0,0,0,0
HMGB3P26,0,0,0,0,0,0
UBE2Q2P2,108,183,431,287,335,100
CERS3-AS1,1,0,6,5,9,0
THTPA,801,893,943,691,716,588
AC023908.1,0,0,0,0,0,0
AC051619.2,0,0,0,0,0,0
AC068875.1,0,0,0,0,0,0
OR4N3P,0,0,0,0,0,0
AC010247.2,0,0,0,3,2,0
AC093334.1,0,0,0,0,2,0
MAPK6-DT,2,3,0,0,2,8
LINC01833,0,0,0,0,0,0
NPM1P43,0,0,0,0,0,0
MRPL15P1,0,3,3,0,0,0
AC105339.3,0,0,0,0,7,11
AC012414.3,0,0,0,0,0,0
AL161669.1,0,0,0,0,0,0
AC055874.1,0,0,0,0,0,0
AC013652.2,0,0,0,3,2,4
LINC02352,10,25,6,56,63,1
NIFKP8,0,0,0,0,3,0
AC009269.1,0,0,0,0,0,0
AC087286.4,0,2,0,9,2,0
WBP1LP5,0,0,0,0,0,0
ADNP-AS1,20,34,27,33,20,13
AC100826.1,0,0,0,0,0,0
AC100839.1,0,0,0,0,0,0
LINC02568,2,4,27,144,88,61
AC078909.1,0,7,4,3,1,5
ANP32BP3,0,0,4,0,0,0
CPEB1-AS1,0,1,0,4,0,0
AC020661.2,0,2,0,6,9,1
SNRPCP18,0,0,0,0,0,0
AHCYP7,0,0,0,4,0,0
NPM1P47,0,0,0,0,0,0
NDUFAF4P1,0,1,10,2,9,2
AC079203.2,1,0,3,2,2,0
AC084757.2,1,0,4,0,0,1
KRT8P9,4,3,2,0,0,2
LINC01169,0,0,0,0,0,0
LINC02205,0,0,0,0,0,0
AC027228.1,0,0,0,2,0,0
AC036108.1,2,0,4,11,5,3
AC018904.2,0,0,0,0,0,0
AC012653.1,0,0,0,0,0,0
AC024651.1,0,0,0,0,0,0
SORD2P,1131,1311,1252,605,812,1521
AC012404.1,0,0,0,0,0,0
RORA-AS2,0,0,0,0,0,0
AL355073.1,0,0,0,3,2,0
LINC02253,0,0,0,0,0,0
AC023355.2,5,11,44,34,34,11
KRT18P47,0,0,0,0,0,0
IGHV3OR15-7,0,0,0,0,0,0
AC023968.2,0,1,0,0,0,1
MRPL46,1581,1754,1056,724,624,1145
AC016705.2,0,0,0,0,0,0
AC021818.2,0,0,0,0,0,0
TPM1-AS,8,16,29,18,7,6
AC090519.2,0,0,2,1,0,0
KRT8P24,0,0,0,0,0,0
AL132640.2,0,0,0,0,0,0
AC048383.1,0,0,0,1,0,0
AC026992.1,0,4,2,3,8,2
AC009268.1,0,0,0,0,0,0
AC103968.1,0,0,0,0,0,0
AL132801.2,8,4,0,1,0,0
AC073941.2,0,0,0,0,0,0
UBE2Q2L,1,8,9,4,9,12
HNRNPA1P5,0,0,0,1,3,0
CYCSP38,0,0,0,3,0,0
AC027243.2,1,0,0,0,2,0
AL117209.1,0,0,0,5,0,0
ANP32AP1,0,3,1,2,2,1
LINC02169,0,0,0,0,0,0
LINC01583,1,0,0,12,1,0
AC051619.3,1,2,1,0,0,0
AC051619.4,5,11,11,54,39,1
INO80-AS1,0,0,0,0,0,0
AL136295.4,0,101,48,0,0,0
AC022613.2,15,29,28,9,3,22
GCSHP2,0,0,0,0,0,0
LINC00052,0,0,0,0,0,0
AC068397.1,0,1,2,0,2,0
AL136295.5,88,167,98,42,83,114
AC104574.1,0,0,0,0,0,0
AC022306.1,2,3,1,0,0,2
AC009269.2,0,0,0,1,1,1
AC040958.1,0,0,0,0,0,0
AC087477.4,0,0,0,0,0,0
RPL21P12,0,0,2,0,0,0
